start,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24
2013-10-19 09:30:00,Opening,Opening,Opening,Opening,Opening,Opening,Opening,Opening,Opening,Opening,Opening,Opening,Opening,Opening,Opening,Opening,Opening,Opening,Opening,Opening,Opening,Opening,Opening,Opening
2013-10-19 10:00:00,Slaapspullen in tenten leggen,Slaapspullen in tenten leggen,Slaapspullen in tenten leggen,Slaapspullen in tenten leggen,Slaapspullen in tenten leggen,Slaapspullen in tenten leggen,Slaapspullen in tenten leggen,Slaapspullen in tenten leggen,Slaapspullen in tenten leggen,Slaapspullen in tenten leggen,Slaapspullen in tenten leggen,Slaapspullen in tenten leggen,Slaapspullen in tenten leggen,Slaapspullen in tenten leggen,Slaapspullen in tenten leggen,Slaapspullen in tenten leggen,Slaapspullen in tenten leggen,Slaapspullen in tenten leggen,Slaapspullen in tenten leggen,Slaapspullen in tenten leggen,Slaapspullen in tenten leggen,Slaapspullen in tenten leggen,Slaapspullen in tenten leggen,Slaapspullen in tenten leggen
2013-10-19 10:30:00,Tocht van HIER naar DAAR,Tocht van HIER naar DAAR,Tocht van HIER naar DAAR,Tocht van HIER naar DAAR,Tocht van HIER naar DAAR,Tocht van HIER naar DAAR,Tocht van HIER naar DAAR,Tocht van HIER naar DAAR,Tocht van HIER naar DAAR,Tocht van HIER naar DAAR,Tocht van HIER naar DAAR,Tocht van HIER naar DAAR,Tocht van HIER naar DAAR,Tocht van HIER naar DAAR,Tocht van HIER naar DAAR,Tocht van HIER naar DAAR,Tocht van HIER naar DAAR,Tocht van HIER naar DAAR,Tocht van HIER naar DAAR,Tocht van HIER naar DAAR,Tocht van HIER naar DAAR,Tocht van HIER naar DAAR,Tocht van HIER naar DAAR,Tocht van HIER naar DAAR
2013-10-19 11:30:00,Sherow programma,Survival,Survival,Sherow programma,Reuze ballen,Reuze ballen,Geheimschrift,Sherow programma,Geheimschrift,Sherow programma,Radio,Radio,Survival,Survival,Survival,Reuze ballen,Reuze ballen,Reuze ballen,Jota,Jota,Jota,Joti,Joti,Joti
2013-10-19 12:30:00,Lunch,Lunch,Lunch,Lunch,Lunch,Lunch,Lunch,Lunch,Lunch,Lunch,Lunch,Lunch,Lunch,Lunch,Lunch,Lunch,Lunch,Lunch,Lunch,Lunch,Lunch,Lunch,Lunch,Lunch
2013-10-19 13:00:00,Sherow programma,Jota,Jota,Sherow programma,Joti,Joti,Survival,Sherow programma,Survival,Sherow programma,Reuze ballen,Reuze ballen,Geheimschrift,Geheimschrift,Geheimschrift,Radio,Radio,Radio,Survival,Survival,Survival,Reuze ballen,Reuze ballen,Reuze ballen
2013-10-19 13:40:00,Sherow programma,Joti,Joti,Sherow programma,Jota,Jota,Survival,Sherow programma,Survival,Sherow programma,Reuze ballen,Reuze ballen,Radio,Radio,Radio,Geheimschrift,Geheimschrift,Geheimschrift,Survival,Survival,Survival,Reuze ballen,Reuze ballen,Reuze ballen
2013-10-19 14:20:00,Sherow programma,Radio,Radio,Sherow programma,Survival,Survival,Reuze ballen,Sherow programma,Reuze ballen,Sherow programma,Jota,Jota,Joti,Joti,Joti,Survival,Survival,Survival,Reuze ballen,Reuze ballen,Reuze ballen,Geheimschrift,Geheimschrift,Geheimschrift
2013-10-19 14:50:00,Sherow programma,Geheimschrift,Geheimschrift,Sherow programma,Survival,Survival,Reuze ballen,Sherow programma,Reuze ballen,Sherow programma,Joti,Joti,Jota,Jota,Jota,Survival,Survival,Survival,Reuze ballen,Reuze ballen,Reuze ballen,Radio,Radio,Radio
2013-10-19 15:20:00,Sherow programma,Reuze ballen,Reuze ballen,Sherow programma,Geheimschrift,Geheimschrift,Joti,Sherow programma,Joti,Sherow programma,Survival,Survival,Reuze ballen,Reuze ballen,Reuze ballen,Jota,Jota,Jota,Radio,Radio,Radio,Survival,Survival,Survival
2013-10-19 15:50:00,Sherow programma,Reuze ballen,Reuze ballen,Sherow programma,Radio,Radio,Jota,Sherow programma,Jota,Sherow programma,Survival,Survival,Reuze ballen,Reuze ballen,Reuze ballen,Joti,Joti,Joti,Geheimschrift,Geheimschrift,Geheimschrift,Survival,Survival,Survival
2013-10-19 16:30:00,Tocht,Tocht,Tocht,Tocht,Tocht,Tocht,Tocht,Tocht,Tocht,Tocht,Tocht,Tocht,Tocht,Tocht,Tocht,Tocht,Tocht,Tocht,Tocht,Tocht,Tocht,Tocht,Tocht,Tocht
2013-10-19 17:30:00,Avondeten,Avondeten,Avondeten,Avondeten,Avondeten,Avondeten,Avondeten,Avondeten,Avondeten,Avondeten,Avondeten,Avondeten,Avondeten,Avondeten,Avondeten,Avondeten,Avondeten,Avondeten,Avondeten,Avondeten,Avondeten,Avondeten,Avondeten,Avondeten
2013-10-19 18:00:00,Gezamenlijk programma,Gezamenlijk programma,Gezamenlijk programma,Gezamenlijk programma,Gezamenlijk programma,Gezamenlijk programma,Gezamenlijk programma,Gezamenlijk programma,Gezamenlijk programma,Gezamenlijk programma,Gezamenlijk programma,Gezamenlijk programma,Gezamenlijk programma,Gezamenlijk programma,Gezamenlijk programma,Gezamenlijk programma,Gezamenlijk programma,Gezamenlijk programma,Gezamenlijk programma,Gezamenlijk programma,Gezamenlijk programma,Gezamenlijk programma,Gezamenlijk programma,Gezamenlijk programma
2013-10-19 19:00:00,Joti,Radio,Radio,Geheimschrift,Survival,Joti,Jota,Survival,Geheimschrift,Jota,Radio,Radio,Survival,Joti,Jota,Geheimschrift,Radio,Radio,Survival,Joti,Jota,Geheimschrift,Radio,Radio
2013-10-19 19:20:00,Survival,Radio,Radio,Jota,Joti,Survival,Geheimschrift,Joti,Jota,Geheimschrift,Radio,Radio,Joti,Survival,Geheimschrift,Jota,Radio,Radio,Joti,Survival,Geheimschrift,Jota,Radio,Radio
2013-10-19 19:40:00,Radio,Jota,Geheimschrift,Joti,Radio,Radio,Survival,Radio,Joti,Survival,Jota,Geheimschrift,Radio,Radio,Survival,Joti,Jota,Geheimschrift,Radio,Radio,Survival,Joti,Jota,Geheimschrift
2013-10-19 20:00:00,Radio,Geheimschrift,Jota,Survival,Radio,Radio,Joti,Radio,Survival,Joti,Geheimschrift,Jota,Radio,Radio,Joti,Survival,Geheimschrift,Jota,Radio,Radio,Joti,Survival,Geheimschrift,Jota
2013-10-19 20:20:00,Geheimschrift,Survival,Joti,Radio,Jota,Geheimschrift,Radio,Jota,Radio,Radio,Survival,Joti,Jota,Geheimschrift,Radio,Radio,Survival,Joti,Jota,Geheimschrift,Radio,Radio,Survival,Joti
2013-10-19 20:40:00,Jota,Joti,Survival,Radio,Geheimschrift,Jota,Radio,Geheimschrift,Radio,Radio,Joti,Survival,Geheimschrift,Jota,Radio,Radio,Joti,Survival,Geheimschrift,Jota,Radio,Radio,Joti,Survival
2013-10-19 21:00:00,Uitleg + klaarmaken voor the Hunt,Uitleg + klaarmaken voor the Hunt,Uitleg + klaarmaken voor the Hunt,Uitleg + klaarmaken voor the Hunt,Uitleg + klaarmaken voor the Hunt,Uitleg + klaarmaken voor the Hunt,Uitleg + klaarmaken voor the Hunt,Uitleg + klaarmaken voor the Hunt,Uitleg + klaarmaken voor the Hunt,Uitleg + klaarmaken voor the Hunt,Uitleg + klaarmaken voor the Hunt,Uitleg + klaarmaken voor the Hunt,Uitleg + klaarmaken voor the Hunt,Uitleg + klaarmaken voor the Hunt,Uitleg + klaarmaken voor the Hunt,Uitleg + klaarmaken voor the Hunt,Uitleg + klaarmaken voor the Hunt,Uitleg + klaarmaken voor the Hunt,Uitleg + klaarmaken voor the Hunt,Uitleg + klaarmaken voor the Hunt,Uitleg + klaarmaken voor the Hunt,Uitleg + klaarmaken voor the Hunt,Uitleg + klaarmaken voor the Hunt,Uitleg + klaarmaken voor the Hunt
2013-10-19 21:30:00,The Hunt,The Hunt,The Hunt,The Hunt,The Hunt,The Hunt,The Hunt,The Hunt,The Hunt,The Hunt,The Hunt,The Hunt,The Hunt,The Hunt,The Hunt,The Hunt,The Hunt,The Hunt,The Hunt,The Hunt,The Hunt,The Hunt,The Hunt,The Hunt
2013-10-20 07:30:00,Slapen,Slapen,Slapen,Slapen,Slapen,Slapen,Slapen,Slapen,Slapen,Slapen,Slapen,Slapen,Slapen,Slapen,Slapen,Slapen,Slapen,Slapen,Slapen,Slapen,Slapen,Slapen,Slapen,Slapen
2013-10-20 08:00:00,Opstaan + spullen inpakken,Opstaan + spullen inpakken,Opstaan + spullen inpakken,Opstaan + spullen inpakken,Opstaan + spullen inpakken,Opstaan + spullen inpakken,Opstaan + spullen inpakken,Opstaan + spullen inpakken,Opstaan + spullen inpakken,Opstaan + spullen inpakken,Opstaan + spullen inpakken,Opstaan + spullen inpakken,Opstaan + spullen inpakken,Opstaan + spullen inpakken,Opstaan + spullen inpakken,Opstaan + spullen inpakken,Opstaan + spullen inpakken,Opstaan + spullen inpakken,Opstaan + spullen inpakken,Opstaan + spullen inpakken,Opstaan + spullen inpakken,Opstaan + spullen inpakken,Opstaan + spullen inpakken,Opstaan + spullen inpakken
2013-10-20 09:00:00,Ontbijt,Ontbijt,Ontbijt,Ontbijt,Ontbijt,Ontbijt,Ontbijt,Ontbijt,Ontbijt,Ontbijt,Ontbijt,Ontbijt,Ontbijt,Ontbijt,Ontbijt,Ontbijt,Ontbijt,Ontbijt,Ontbijt,Ontbijt,Ontbijt,Ontbijt,Ontbijt,Ontbijt
2013-10-20 09:30:00,Jota,Radio,Kettingreactie,Kettingreactie,Bosspel,Bosspel,TV,TV,Joti,Joti,Radio,Jota,Radio,Kettingreactie,Kettingreactie,Bosspel,Bosspel,TV,TV,Joti,Joti,TV,Jota,Kettingreactie
2013-10-20 10:00:00,Radio,Jota,Kettingreactie,Kettingreactie,Bosspel,Bosspel,TV,TV,Joti,Joti,Jota,Radio,Jota,Kettingreactie,Kettingreactie,Bosspel,Bosspel,TV,TV,Joti,Joti,TV,Radio,Kettingreactie
2013-10-20 10:30:00,Joti,Joti,Jota,Radio,Kettingreactie,Kettingreactie,Bosspel,Bosspel,TV,TV,Joti,Joti,Joti,Jota,Radio,Kettingreactie,Kettingreactie,Bosspel,Bosspel,TV,TV,Bosspel,Joti,Jota
2013-10-20 11:00:00,Joti,Joti,Radio,Jota,Kettingreactie,Kettingreactie,Bosspel,Bosspel,TV,TV,Joti,Joti,Joti,Radio,Jota,Kettingreactie,Kettingreactie,Bosspel,Bosspel,TV,TV,Bosspel,Joti,Radio
2013-10-20 11:30:00,TV,TV,Joti,Joti,Jota,Radio,Kettingreactie,Kettingreactie,Bosspel,Bosspel,TV,TV,TV,Joti,Joti,Jota,Radio,Kettingreactie,Kettingreactie,Bosspel,Bosspel,Kettingreactie,TV,Joti
2013-10-20 12:00:00,TV,TV,Joti,Joti,Radio,Jota,Kettingreactie,Kettingreactie,Bosspel,Bosspel,TV,TV,TV,Joti,Joti,Radio,Jota,Kettingreactie,Kettingreactie,Bosspel,Bosspel,Kettingreactie,TV,Joti
2013-10-20 12:30:00,Lunch,Lunch,Lunch,Lunch,Lunch,Lunch,Lunch,Lunch,Lunch,Lunch,Lunch,Lunch,Lunch,Lunch,Lunch,Lunch,Lunch,Lunch,Lunch,Lunch,Lunch,Lunch,Lunch,Lunch
2013-10-20 13:00:00,Bosspel,Bosspel,TV,TV,Joti,Joti,Jota,Radio,Kettingreactie,Kettingreactie,Bosspel,Bosspel,Bosspel,TV,TV,Joti,Joti,Jota,Radio,Kettingreactie,Kettingreactie,Jota,Bosspel,TV
2013-10-20 13:30:00,Bosspel,Bosspel,TV,TV,Joti,Joti,Radio,Jota,Kettingreactie,Kettingreactie,Bosspel,Bosspel,Bosspel,TV,TV,Joti,Joti,Radio,Jota,Kettingreactie,Kettingreactie,Radio,Bosspel,TV
2013-10-20 14:00:00,Kettingreactie,Kettingreactie,Bosspel,Bosspel,TV,TV,Joti,Joti,Jota,Radio,Kettingreactie,Kettingreactie,Kettingreactie,Bosspel,Bosspel,TV,TV,Joti,Joti,Jota,Radio,Joti,Kettingreactie,Bosspel
2013-10-20 14:30:00,Kettingreactie,Kettingreactie,Bosspel,Bosspel,TV,TV,Joti,Joti,Radio,Jota,Kettingreactie,Kettingreactie,Kettingreactie,Bosspel,Bosspel,TV,TV,Joti,Joti,Radio,Jota,Joti,Kettingreactie,Bosspel
2013-10-20 15:10:00,Sluiting,Sluiting,Sluiting,Sluiting,Sluiting,Sluiting,Sluiting,Sluiting,Sluiting,Sluiting,Sluiting,Sluiting,Sluiting,Sluiting,Sluiting,Sluiting,Sluiting,Sluiting,Sluiting,Sluiting,Sluiting,Sluiting,Sluiting,Sluiting
